2026-09-11T13:22:29.300Z [env] 6 variaveis carregadas de .env (valores nao exibidos)
2026-09-11T13:22:29.300Z [db] lendo em modo somente-leitura: /opt/erp-wake/data/app.db
2026-09-11T13:22:29.322Z [db] 2318 produtos ativos; CD=25 tabela=74 promocao=10365 CISS empresa=2 local=2
2026-09-11T13:22:29.322Z [db] intervalo produtoVarianteId da whitelist: 278078..283202
2026-09-11T13:22:29.323Z [auth] token Wake: env; token CISS: db (valores nunca exibidos)
2026-09-11T13:22:29.326Z [wake] GET /produtos CD=25 intervalo 278078..283202
2026-09-11T13:23:29.580Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279610 -> 200 (rate-limit restante=89)
2026-09-11T13:23:31.577Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279660 -> 200 (rate-limit restante=119)
2026-09-11T13:23:33.590Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279710 -> 200 (rate-limit restante=118)
2026-09-11T13:23:35.571Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279760 -> 200 (rate-limit restante=117)
2026-09-11T13:23:37.570Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279810 -> 200 (rate-limit restante=116)
2026-09-11T13:23:39.586Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279860 -> 200 (rate-limit restante=115)
2026-09-11T13:23:41.587Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279910 -> 200 (rate-limit restante=114)
2026-09-11T13:23:43.577Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=279960 -> 200 (rate-limit restante=113)
2026-09-11T13:23:45.577Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280010 -> 200 (rate-limit restante=112)
2026-09-11T13:23:47.606Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280060 -> 200 (rate-limit restante=111)
2026-09-11T13:23:49.580Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280110 -> 200 (rate-limit restante=110)
2026-09-11T13:23:51.583Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280160 -> 200 (rate-limit restante=109)
2026-09-11T13:23:53.610Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280210 -> 200 (rate-limit restante=108)
2026-09-11T13:23:55.594Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280330 -> 200 (rate-limit restante=107)
2026-09-11T13:23:57.586Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280380 -> 200 (rate-limit restante=106)
2026-09-11T13:23:59.599Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280430 -> 200 (rate-limit restante=105)
2026-09-11T13:24:01.771Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280480 -> 200 (rate-limit restante=104)
2026-09-11T13:24:03.612Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280530 -> 200 (rate-limit restante=103)
2026-09-11T13:24:05.608Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280845 -> 200 (rate-limit restante=102)
2026-09-11T13:24:07.589Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=280896 -> 200 (rate-limit restante=101)
